rank_seq,rank,brand,model,count,series_url,brand_conf,series_conf,title_raw,brand_ja,model_ja
84,84,星,瑞,,,0.70,0.70,星瑞,,
85,85,宝马X,3,,,0.70,0.70,宝马X3,,
86,86,腾势D,9,,,0.70,0.70,腾势D9,,
87,87,长安UNI,-Z新能源,,,0.70,0.70,长安UNI-Z新能源,,
88,88,AION,Y,,,0.70,0.70,AION Y,,
89,89,零跑B,10,,,0.70,0.70,零跑B10,,
90,90,小鹏G,7,,,0.70,0.70,小鹏G7,,
91,91,帝,豪,,,0.70,0.70,帝豪,,
92,92,岚图梦想,家,,,0.70,0.70,岚图梦想家,,
93,93,捷途旅行,者,,,0.70,0.70,捷途旅行者,,
94,94,传祺GS,3,,,0.70,0.70,传祺GS3,,
95,95,iCAR,超级V23,,,0.70,0.70,iCAR 超级V23,,
96,96,汉兰,达,,,0.70,0.70,汉兰达,,
97,97,捷途X,70,,,0.70,0.70,捷途X70,,
98,98,宝,来,,,0.70,0.70,宝来,,
99,99,红旗HS,5,,,0.70,0.70,红旗HS5,,
100,100,逍,客,,,0.70,0.70,逍客,,
101,101,驱逐舰,05,,,0.70,0.70,驱逐舰05,,
102,102,深蓝S,07,,,0.70,0.70,深蓝S07,,
103,103,奥迪A,4L,,,0.70,0.70,奥迪A4L,,
104,104,沃尔沃XC,60,,,0.70,0.70,沃尔沃XC60,,
105,105,乐道L,60,,,0.70,0.70,乐道L60,,
106,106,AION,UT,,,0.70,0.70,AION UT,,
107,107,东风风神L,7,,,0.70,0.70,东风风神L7,,
108,108,睿蓝汽车X3,PRO,,,0.70,0.70,睿蓝汽车X3 PRO,,
109,109,捷途自由,者,,,0.70,0.70,捷途自由者,,
110,110,格瑞维,亚,,,0.70,0.70,格瑞维亚,,
111,111,极氪,7X,,,0.70,0.70,极氪7X,,
112,112,蒙迪,欧,,,0.70,0.70,蒙迪欧,,
113,113,别克GL,8新能源,,,0.70,0.70,别克GL8新能源,,
